sorteo,ganadores,orden,tiempo
1,3,46,131703
2,2,45,135042
3,1,34,117542
4,2,42,127253
5,1,28,97826
6,1,34,122286
7,3,33,116935
8,1,37,125544
9,1,42,126968
10,1,36,117054
11,1,33,127620
12,2,43,127928
13,1,35,118761
14,6,51,139964
15,2,40,127921
16,3,30,110880
17,1,32,41038283
18,1,37,121916
19,1,44,117876
20,1,31,108665
21,1,30,104945
22,1,32,104860
23,1,31,111339
24,2,36,123752
25,2,31,102333
26,1,35,103701
27,1,30,103262
28,1,31,114918
29,3,41,121665
30,1,28,109956
31,1,28,107190
32,2,36,122827
33,2,38,118166
34,4,47,4095958
35,1,41,126649
36,10,41,143696
37,1,35,118121
38,3,43,132242
39,3,39,131118
40,2,38,116996
41,1,44,134655
42,2,33,117598
43,1,43,124043
44,1,41,131287
45,1,34,103713
46,1,37,119218
47,1,27,105747
48,1,31,92229
49,1,43,130685
50,1,45,139435
51,1,34,115256
52,1,39,123050
53,2,28,111373
54,1,31,119110
55,2,38,132740
56,2,38,121312
57,1,32,92880
58,1,33,99735
59,2,46,138326
60,2,32,117262
